Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Black Winter Leggings,3,3,,1,,1,4,,8,5,2,,,,,,,,,,,,12/5/2019,106,Athleta,Slow Fashion,,,leggings,,,exercise,Bottoms
Denim Shorts,,,,,,,,,,,,,,,,,,1,,,,,1/1/2016,10,Goodwill,Secondhand,,,shorts,,,straight leg,Bottoms
Grey KL Pencil Skirt,,,,,,,,,,,,2,1,3,1,,,2,,,,,8/1/2017,20,Old Navy,Fast Fashion,,,skirt,,,knee-length pencil,Bottoms
Black KL Pencil Skirt,,,,,,,,,,,,,,,,,,,,,,,10/15/2019,13,Eileen Fisher/Poshmark,Secondhand,,,skirt,,,knee-length pencil,Bottoms
Green Skinny Leg Pants,1,,,,,,,,,2,2,6,4,,3,2,5,6,6,6,2,8,11/1/2018,18,Old Navy/Online,Fast Fashion,,,jeans,,,skinny leg,Bottoms
Black Skinny Leg Jeans,,,,,,,,,,1,2,3,2,7,6,6,4,1,2,1,5,2,10/1/2018,25,Old Navy/Online,Fast Fashion,,,jeans,,,skinny leg,Bottoms
Black Ponte Stretch Pants,1,,,,,,,,,,,,1,5,6,1,1,2,5,5,2,2,1/9/19,50,Everlane/Online,Slow fashion,,,pants,,,skinny leg,Bottoms
Denim Straight Leg Jeans,1,2,,,,,,,,4,4,7,9,,,,,,,,,,10/5/2019,27,Nordstrom Rack,Fast Fashion,Hudson 99% Cotton,,jeans,,,straight leg,Bottoms
Denim Skinny Leg Jeans,,,,,,,,,,1,,1,5,3,7,2,,5,2,5,,,8/1/2018,0,Rachel,Secondhand,,,jeans,,,skinny leg,Bottoms
Purple Suede Pants,1,,,,,,,,,,,,,,,,,,,,,,8/10/2020,4,Rachel,Secondhand,,,pants,,,straight leg,Bottoms
Green Suede Pants,1,,,,,,,1,,8,2,,,,,,,,,,,,12/23/2019,4,Goodwill,Secondhand,,,pants,,,straight leg,Bottoms
Red Silk Pants,,2,,,,,,,,3,1,,,,,,,,,,,,12/23/2019,4,Goodwill,Secondhand,,,pants,,,wide leg,Bottoms
