Item,Total Wears,Cost per Wear,Wears per Month,Date Acquired,Cost,Source,Repairs/Tailoring,Color,Type,Category,Subcategory - Sleeves,Subcategory - Length,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019)
Light Black Skinny Leg Jeans,45.0,3.111111111111111,4.891304347826087,2020-01-29,140,New,0.0,,Bottoms,jeans,,skinny leg,1.0,0.0,0.0,0.0,3.0,7.0,2.0,12.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Everlane Skinny Leg Jeans,85.0,0.8705882352941177,3.857791225416036,2019-01-09,74,Fast Fashion,0.0,,Bottoms,jeans,,skinny leg,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,11.0,5.0,6.0,4.0,0.0,0.0,1.0,0.0,3.0,9.0,15.0,14.0
Beige Pleated Pants,1.0,15.0,0.7142857142857143,2020-09-19,15,Secondhand,0.0,,Bottoms,pants,,tapered leg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Corduroy Pants,10.0,6.8,1.0869565217391306,2020-01-29,68,New,0.0,,Bottoms,pants,,wide leg,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Pleated Pants,23.0,4.130434782608695,3.9884393063583814,2020-05-11,95,Slow Fashion,0.0,,Bottoms,pants,,straight leg,3.0,1.0,5.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Paperbag Pants,17.0,4.529411764705882,3.148148148148148,2020-05-22,77,Slow Fashion,0.0,,Bottoms,pants,,tapered leg,0.0,3.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Wide-leg Pants,23.0,1.3043478260869565,1.6953316953316953,2019-09-20,30,Secondhand,0.0,,Bottoms,pants,,wide leg,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Blockprint Wide-leg Pants,3.0,33.333333333333336,10.0,2020-10-22,100,Slow Fashion,0.0,,Bottoms,pants,,wide leg,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light Wash Straight Leg Jeans,27.0,6.481481481481482,5.364238410596027,2020-06-02,175,Slow Fashion,0.0,,Bottoms,jeans,,straight leg,8.0,2.0,3.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mom Jeans,0.0,0.0,-0.0,2020-11-05,13,Fair Trade,0.0,,Bottoms,jeans,,straight leg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Wash Skinny Leg Jeans,0.0,0.0,0.0,2017-08-01,30,Fast Fashion,0.0,,Bottoms,jeans,,skinny leg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light Wash Skinny Leg Jeans,5.0,6.0,0.22421524663677128,2017-08-01,30,Fast Fashion,0.0,,Bottoms,jeans,,skinny leg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Girlfriend Leggings,33.0,3.242424242424242,1.4798206278026906,2016-01-01,107,Slow Fashion,0.0,,Bottoms,leggings,,exercise,4.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0
Grey Mesh Reebok Leggings,3.0,5.0,0.13452914798206278,2017-01-01,15,Fast Fashion,0.0,,Bottoms,leggings,,exercise,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Grey Athleta Leggings,3.0,10.0,0.13452914798206278,2016-01-01,30,Slow Fashion,0.0,,Bottoms,leggings,,exercise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Blue Pattern Niyama Sol Leggings,1.0,0.0,0.04484304932735426,2017-01-01,0,Gift,0.0,,Bottoms,leggings,,exercise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Black and Blue Adidas Leggings,3.0,6.666666666666667,0.13452914798206278,2017-01-01,20,Fast Fashion,0.0,,Bottoms,leggings,,exercise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Black Winter Leggings,27.0,3.925925925925926,2.4471299093655587,2019-12-05,106,Slow Fashion,0.0,,Bottoms,leggings,,exercise,3.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim Shorts,1.0,10.0,0.04484304932735426,2016-01-01,10,Secondhand,0.0,,Bottoms,shorts,,straight leg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Grey KL Pencil Skirt,9.0,2.2222222222222223,0.40358744394618834,2017-08-01,20,Fast Fashion,0.0,,Bottoms,skirt,,knee-length pencil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Black KL Pencil Skirt,0.0,0.0,0.0,2019-10-15,13,Secondhand,0.0,,Bottoms,skirt,,knee-length pencil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Skinny Leg Pants,53.0,0.33962264150943394,2.3766816143497755,2018-11-01,18,Fast Fashion,0.0,,Bottoms,jeans,,skinny leg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,4.0,0.0,3.0,2.0,5.0,6.0,6.0,6.0,2.0,8.0
