Unnamed: 0,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
34,Osei-Duro Black Pattern SL Shirt,2.0,1.0,3.0,2,2,2.0,3,3,2,1,3,1,4,1.0,,,,,,,,,9/12/2019,32,eBay,Secondhand,,20.0,shirt,sleeveless,grey,,Tops
35,Black Tunic SL Shirt,,1.0,2.0,,,,1,,1,,1,,,,,,,,1.0,,1.0,,1/1/2015,15,Nordstrom Rack,Fast Fashion,,,shirt,sleeveless,black,,Tops
36,Grey Star Wars Van Gogh SL Shirt,,,,1,,1.0,,,,,1,,,,,,,1.0,1.0,1.0,,,1/1/2017,20,Target,Fast Fashion,,,shirt,sleeveless,grey,,Tops
37,Black Spaghetti Strap SL Shirt,,1.0,,,,,,,,1,1,,,2.0,2.0,,1.0,,1.0,,1.0,,8/1/2018,0,Rachel,Hand-me-down,,,shirt,sleeveless,black,,Tops
38,Purple workout SL shirt ,1.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,12/2016,20,Nordstrom Rack,Fast Fashion,,,shirt,sleeveless,pink,,Tops
39,Black and Red Floral Sheer LS Shirt,,1.0,,,,,,,1,1,1,,,2.0,2.0,,1.0,,1.0,,1.0,1.0,8/1/2018,0,Rachel,Hand-me-down,,,shirt,long sleeve,,,Tops
40,Vintage Black Tunic LS Shirt,,,,,,,,,,1,,,,,,,,,,,,,12/26/2019,4,Goodwill,Secondhand,,,shirt,long sleeve,,,Tops
41,Yellow and White Striped MS Shirt,,,,,,,,,,,,1,1,1.0,1.0,1.0,1.0,,,1.0,,2.0,8/1/2017,20,Old Navy,Fast Fashion,,,shirt,mid sleeve,,,Tops
42,Blue FullSteam SS Shirt,,,,,,,,,,,,,1,,1.0,1.0,,1.0,,,1.0,,12/9/2018,25,In Brewery,Fast Fashion,,,shirt,short sleeve,,,Tops
43,Cream Calvin Klein SL Shirt,,2.0,,,,,,,,3,2,,8,1.0,1.0,1.0,1.0,2.0,2.0,4.0,,2.0,1/1/2018,48,Nordstrom Rack/eBay,Second one purchased 9/4/19,Second one purchased 9/4/19,,shirt,sleeveless,,,Tops
