Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Black Tunic SL Shirt,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1/1/2015,15,Nordstrom Rack,0,0,shirt,sleeveless,black,,Tops
Grey Star Wars Van Gogh SL Shirt,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1/1/2017,20,Target,0,0,shirt,sleeveless,grey,,Tops
Black Spaghetti Strap SL Shirt,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,1,0,1,0,1,0,8/1/2018,0,Rachel,Hand-me-down,0,shirt,sleeveless,black,,Tops
Purple workout SL shirt ,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/2016,20,Nordstrom Rack,0,0,shirt,sleeveless,pink,,Tops
Black and Red Floral Sheer LS Shirt,0,1,0,0,0,0,0,0,1,1,1,0,0,2,2,0,1,0,1,0,1,1,8/1/2018,0,Rachel,Hand-me-down,0,shirt,long sleeve,0,,Tops
Vintage Black Tunic LS Shirt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12/26/2019,4,Goodwill,Secondhand,0,shirt,long sleeve,0,,Tops
Yellow and White Striped MS Shirt,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,2,8/1/2017,20,Old Navy,0,0,shirt,mid sleeve,0,,Tops
Blue FullSteam SS Shirt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,12/9/2018,25,In Brewery,0,0,shirt,short sleeve,0,,Tops
Cream Calvin Klein SL Shirt,0,2,0,0,0,0,0,0,0,3,2,0,8,1,1,1,1,2,2,4,0,2,1/1/2018,48,Nordstrom Rack/eBay,Second one purchased 9/4/19,0,shirt,sleeveless,0,,Tops
Maroon SL Shirt,0,2,0,0,0,0,0,0,0,1,4,2,1,0,0,2,2,2,0,0,1,1,1/1/2018,20,Target,0,0,shirt,sleeveless,0,,Tops
Grey Heather Tunic SL Shirt,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,10/8/2019,0,Mom,Hand-me-down,0,shirt,sleeveless,0,,Tops
Black Calvin Klein SL Shirt,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,9/14/2019,18,eBay,Secondhand,0,shirt,sleeveless,0,,Tops
Curator Rust CL Skirt,0,3,0,1,1,3,1,1,0,1,0,0,2,0,2,5,0,0,0,0,0,0,7/18/2019,75,Instagram/Curator SF,Secondhand,7,skirt,,,calf-length maxi,Bottoms
