Item,Total Wears,Cost per Wear,Wears per Month,Date Acquired,Cost,Source,Repairs/Tailoring,Color,Type,Category,Subcategory - Sleeves,Subcategory - Length,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019)
Blue Pattern Niyama Sol Leggings,1,0.0,0.02127659574468085,2017-01-01,0,Gift,0,,Bottoms,leggings,,exercise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Black and Blue Adidas Leggings,3,6.666666666666667,0.06382978723404255,2017-01-01,20,0,0,,Bottoms,leggings,,exercise,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Black Winter Leggings,27,3.925925925925926,2.3684210526315788,2019-12-05,106,Slow Fashion,0,,Bottoms,leggings,,exercise,3,3,0,1,0,1,4,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0
Denim Shorts,1,10.0,0.01689189189189189,2016-01-01,10,Secondhand,0,,Bottoms,shorts,,straight leg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Grey KL Pencil Skirt,9,2.2222222222222223,0.2253756260434057,2017-08-01,20,0,0,,Bottoms,skirt,,knee-length pencil,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,2,0,0,0,0
Black KL Pencil Skirt,0,inf,0.0,2019-10-15,13,Secondhand,0,,Bottoms,skirt,,knee-length pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Skinny Leg Pants,53,0.33962264150943394,2.145748987854251,2018-11-01,18,0,0,,Bottoms,jeans,,skinny leg,1,0,0,0,0,0,0,0,0,2,2,6,4,0,3,2,5,6,6,6,2,8
Black Skinny Leg Jeans,42,0.5952380952380952,1.6321243523316062,2018-10-01,25,0,0,,Bottoms,jeans,,skinny leg,0,0,0,0,0,0,0,0,0,1,2,3,2,7,6,6,4,1,2,1,5,2
Black Ponte Stretch Pants,31,1.6129032258064515,1.3839285714285716,2019-01-09,50,Slow fashion,0,,Bottoms,pants,,skinny leg,1,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,1,2,5,5,2,2
Denim Straight Leg Jeans,27,1.0,2.009925558312655,2019-10-05,27,0,0,,Bottoms,jeans,,straight leg,1,2,0,0,0,0,0,0,0,4,4,7,9,0,0,0,0,0,0,0,0,0
Denim Skinny Leg Jeans,31,0.0,1.1164465786314526,2018-08-01,0,Secondhand,0,,Bottoms,jeans,,skinny leg,0,0,0,0,0,0,0,0,0,1,0,1,5,3,7,2,0,5,2,5,0,0
Purple Suede Pants,1,4.0,0.3225806451612903,2020-08-10,4,Secondhand,0,,Bottoms,pants,,straight leg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Suede Pants,12,0.3333333333333333,1.111111111111111,2019-12-23,4,Secondhand,0,,Bottoms,pants,,straight leg,1,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0
Red Silk Pants,6,0.6666666666666666,0.5555555555555555,2019-12-23,4,Secondhand,0,,Bottoms,pants,,wide leg,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
Orange Shorts,4,6.25,0.0851063829787234,2017-01-01,25,0,0,,Bottoms,shorts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
Green Old Navy Shorts,1,20.0,0.014012143858010277,2015-01-01,20,0,0,,Bottoms,shorts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blue Pullover Sweater,5,0.0,0.13940520446096655,2017-12-01,0,Hand-me-down,0,,Outerwear,sweater,long sleeve,,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0
Beige Cable Knit Sweater,2,5.0,3.0,2020-10-22,10,Secondhand,0,,Outerwear,sweater,long sleeve,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cream Knit Crop Sweater,11,0.9090909090909091,0.15193370165745856,2014-12-01,10,0,0,,Outerwear,sweater,long sleeve,,3,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,1
Purple and Orange Mockneck Sweater,5,2.0,7.5,2020-10-22,10,Secondhand,0,,Outerwear,sweater,long sleeve,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cream Cardigan,20,1.95,1.7191977077363898,2019-11-28,39,Slow Fashion,0,,Outerwear,cardigan ,long sleeve,,0,1,0,0,0,2,2,4,3,6,2,0,0,0,0,0,0,0,0,0,0,0
Pink and Red Reversible Haori,7,10.714285714285714,1.5217391304347827,2020-06-26,75,Slow Fashion,0,,Outerwear,cardigan,mid sleeve,,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grey Cardigan,32,1.3125,2.5263157894736845,2019-10-28,42,Secondhand,0,,Outerwear,cardigan,long sleeve,,1,1,0,0,0,1,0,1,5,2,5,14,2,0,0,0,0,0,0,0,0,0
Grey Heather Blazer Sweater,18,0.0,0.32886723507917176,2016-05-14,0,Gift,0,,Outerwear,sweater,long sleeve,,0,0,0,0,0,0,0,0,1,1,1,5,4,0,0,0,0,0,2,2,1,1
Tapestry Jacket,3,5.333333333333333,1.3235294117647058,2020-09-04,16,Secondhand,0,,Outerwear,coat/jacket,long sleeve,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Blazer,15,6.866666666666666,1.3157894736842104,2019-12-05,103,Slow Fashion,0,,Outerwear,blazer,long sleeve,,0,0,0,0,0,1,1,1,3,4,5,0,0,0,0,0,0,0,0,0,0,0
Black Pleather and Mesh Blazer ,1,3.0,0.3225806451612903,2020-08-10,3,Secondhand ,0,,Outerwear,blazer,long sleeve,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Quilted Blazer,5,0.0,0.4702194357366771,2019-12-28,0,Secondhand,0,,Outerwear,blazer ,long sleeve,,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Striped Waterfall Blazer,2,10.0,0.7692307692307692,2020-08-25,20,Second ,0,,Outerwear,blazer ,long sleeve ,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Blazer,4,12.5,0.09764035801464604,2017-07-01,50,0,0,,Outerwear,blazer,mid sleeve,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Black Blazer Sweater,59,0.7288135593220338,2.5689404934687956,2018-12-23,43,0,0,,Outerwear,sweater,mid sleeve,,1,0,0,0,1,3,0,3,2,3,1,2,5,8,2,2,0,0,6,11,6,3
Grey Oversized Poncho Sweater,14,1.0714285714285714,0.23648648648648649,2016-01-01,15,0,0,,Outerwear,sweater,mid sleeve,,2,1,0,0,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0,2,0,2
Grey Cashmere Crop Sweater,14,0.0,0.5042016806722689,2018-08-01,0,Hand-me-down,0,,Outerwear,sweater,mid sleeve,,1,1,0,0,0,0,0,1,0,5,1,2,2,0,0,0,0,0,0,0,0,1
Black Striped Osei-Duro Coat,48,1.2083333333333333,3.7894736842105265,2019-10-28,58,Secondhand,0,,Outerwear,coat/jacket,long sleeve,,3,3,0,0,1,0,0,9,5,7,3,16,1,0,0,0,0,0,0,0,0,0
Black Silky Coat,6,1.8333333333333333,0.5555555555555555,2019-12-23,11,Secondhand,0,,Outerwear,coat/jacket,long sleeve,,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Green Trenchcoat,6,1.8333333333333333,0.5555555555555555,2019-12-23,11,Secondhand,0,,Outerwear,coat/jacket,long sleeve,,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
Black London Fog Coat,81,0.8641975308641975,2.396449704142012,2018-02-01,70,0,0,,Outerwear,coat/jacket,long sleeve,,0,0,0,0,0,0,0,3,10,6,6,4,0,0,0,0,0,0,3,15,20,14
Grey Puffer Coat,46,1.5217391304347827,1.3609467455621302,2018-02-01,70,0,0,,Outerwear,coat/jacket,long sleeve,,0,0,0,0,0,0,0,1,9,9,11,3,0,0,0,0,0,0,0,1,2,10
Peru Alpaca Sweater,0,,0.0,2019-12-27,0,Secondhand,0,,Outerwear,sweater,long sleeve,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ugly Christmas Sweater,1,20.0,0.04219409282700422,2018-12-01,20,0,0,,Outerwear,sweater,long sleeve,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brown Leather Jacket,4,7.5,0.047885075818036714,2014-01-01,30,Secondhand,0,,Outerwear,coat/jacket,long sleeve,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Red Hilfiger Coat,4,12.5,0.04179728317659352,2013-01-01,50,0,0,,Outerwear,coat/jacket,long sleeve,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
Black Leather Open-Toed Sandals,13,1.3846153846153846,0.967741935483871,2019-10-05,18,0,0,,Shoes,sandals,,,1,0,2,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Brown Leather Trevi Flats,14,7.714285714285714,1.7872340425531916,2020-03-21,108,Slow Fashion ,0,,Shoes,flats,,,0,1,3,1,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Leather Iris Loafers,22,4.2727272727272725,2.8085106382978724,2020-03-21,94,Slow Fashion,0,,Shoes,flats,,,0,1,3,2,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Leather Sneakers,53,1.9811320754716981,3.9849624060150375,2019-10-09,105,Slow Fashion,0,,Shoes,sneakers,,,2,3,4,1,3,0,1,1,1,8,8,12,9,0,0,0,0,0,0,0,0,0
White Tennis Sneakers,37,3.2432432432432434,4.141791044776119,2020-02-17,120,Slow Fashion,0,,Shoes,sneakers,,,1,1,3,5,1,12,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Leather Chukka Boots,54,2.037037037037037,3.4615384615384617,2019-08-01,110,Slow Fashion,0,,Shoes,boots,,,0,0,0,0,0,1,0,0,6,6,3,8,14,4,12,0,0,0,0,0,0,0
Black Lace-up Boots,22,9.0,2.082018927444795,2019-12-30,198,Slow Fashion,0,,Shoes,boots,,,0,0,0,0,0,0,1,1,6,13,1,0,0,0,0,0,0,0,0,0,0,0
Black Leather Combat Boots,80,2.175,1.120971508640822,2015-01-01,80,0,94,,Shoes,boots,,,4,2,0,0,0,0,1,0,5,1,7,9,7,10,0,0,0,0,3,14,1,16
Brown Leather Hiking Boots,45,2.488888888888889,3.9130434782608696,2019-12-02,112,Slow Fashion,0,,Shoes,boots,,,5,1,0,0,1,0,2,4,13,11,8,0,0,0,0,0,0,0,0,0,0,0
Brown Leather Combat Boots,33,2.4242424242424243,0.4624007473143391,2015-01-01,80,0,0,,Shoes,boots,,,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,18,10
Blush Suede Flats,1,30.0,0.028708133971291863,2018-01-01,30,0,0,,Shoes,flats,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Grey Suede Wedge Heels,4,12.5,0.11483253588516745,2018-01-01,50,0,0,,Shoes,heels,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Brown Leather Oxford Heels,1,0.0,0.014012143858010277,2015-01-01,0,Gift,0,,Shoes,heels,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Black Suede Wedge Heels (Toms),7,10.0,0.09808500700607194,2015-01-01,70,0,0,,Shoes,heels,,,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,1,0
