,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Total Wears,Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
76,Black KL Pencil Skirt,,,,,,,STORAGE,,,,,,,,,,,,,,,,0,10/15/2019,13,Eileen Fisher/Poshmark,Secondhand,,skirt,,,knee-length pencil,Bottoms
77,Green Skinny Leg Pants,1,,,,,,STORAGE ,STORAGE ,STORAGE,2,2,6,4,,3,2,5,6,6,6,2,8,54,11/1/2018,18,Old Navy/Online,,,jeans,,,skinny leg,Bottoms
78,Black Skinny Leg Jeans,,,,,,,STORAGE ,STORAGE ,STORAGE,1,2,3,2,7,6,6,4,1,2,1,5,2,53,10/1/2018,25,Old Navy/Online,,,jeans,,,skinny leg,Bottoms
79,Black Ponte Stretch Pants,1,,,,,,STORAGE ,STORAGE ,STORAGE,STORAGE,,,1,5,6,1,1,2,5,5,2,2,31,1/9/19,50,Everlane/Online,Slow fashion,,pants,,,skinny leg,Bottoms
80,Denim Straight Leg Jeans,1,2,,,,,STORAGE ,STORAGE ,STORAGE,4,4,7,9,,,,,,,,,,27,10/5/2019,27,Nordstrom Rack,Hudson 99% Cotton,,jeans,,,straight leg,Bottoms
81,Denim Skinny Leg Jeans,,,,,,,STORAGE ,STORAGE ,STORAGE,1,,1,5,3,7,2,,5,2,5,,,31,8/1/2018,0,Rachel,Secondhand,,jeans,,,skinny leg,Bottoms
82,Purple Suede Pants,1,,,,,,,,,,,,,,,,,,,,,,1,8/10/2020,4,Rachel,Secondhand,,pants,,,straight leg,Bottoms
83,Green Suede Pants,1,,,,,,STORAGE ,1,STORAGE,8,2,,,,,,,,,,,,12,12/23/2019,4,Goodwill,Secondhand,,pants,,,straight leg,Bottoms
84,Red Silk Pants,,2,,,,,STORAGE ,,,3,1,,,,,,,,,,,,6,12/23/2019,4,Goodwill,Secondhand,,pants,,,wide leg,Bottoms
85,Orange Shorts,,,,,,,STORAGE ,,,,,,,,2,,,2,,,,,6,1/1/2017,25,Express,,,shorts,,,,Bottoms
